id, time (s), size (bits),,0,0
270,1456077955,1456077955,6936,27.32309008,64852.70786
271,1456077955,1456077955,6824,27.42842007,64786.86626
272,1456077955,1456077955,6704,27.53201008,64716.66425
273,1456077956,1456077956,6584,27.6343801,64315.70259
274,1456077956,1456077956,6464,27.73421001,64750.13208
275,1456077956,1456077956,6344,27.83277011,64366.82118
276,1456077956,1456077956,6216,27.92941999,64314.6134
277,1456077956,1456077956,6088,28.02466989,63916.08345
278,1456077956,1456077956,5968,28.11753988,64261.87349
279,1456077956,1456077956,5840,28.20915008,63748.36459
280,1456077956,1456077956,5720,28.29864001,63917.80129
281,1456077956,1456077956,5592,28.38643003,63697.45088
282,1456077956,1456077956,5472,28.47236991,63672.41534
283,1456077956,1456077956,5360,28.55724001,63155.33973
284,1456077957,1456077957,5248,28.63972998,63619.85789
285,1456077957,1456077957,5136,28.72070003,63430.86202
286,1456077957,1456077957,5032,28.80023003,63271.72082
287,1456077957,1456077957,4936,28.87839007,63152.46927
288,1456077957,1456077957,4840,28.95517993,63029.15847
289,1456077957,1456077957,4752,29.03024006,63309.24357
290,1456077957,1456077957,4672,29.10457993,62846.49423
291,1456077957,1456077957,4600,29.17847991,62246.29193
292,1456077957,1456077957,4536,29.24952006,63851.21338
293,1456077957,1456077957,4472,29.32030988,63172.93051
294,1456077957,1456077957,4424,29.39033008,63181.76861
295,1456077957,1456077957,4376,29.45991993,62882.73065
296,1456077957,1456077957,4344,29.52846003,63378.9597
297,1456077958,1456077958,4320,29.59649992,63492.16231
298,1456077958,1456077958,4304,29.67863989,52398.36415
299,1456077958,1456077958,4296,29.77751994,43446.57884
300,1456077958,1456077958,4296,29.87733006,43041.72615
301,1456077958,1456077958,4304,29.97848988,42546.54053
302,1456077958,1456077958,4320,30.0776701,43557.07148
303,1456077958,1456077958,4344,30.17807007,43266.94476
304,1456077958,1456077958,4384,30.27813005,43813.71785
305,1456077958,1456077958,4424,30.37823009,44195.78634
306,1456077958,1456077958,4472,30.47847009,44612.93247
307,1456077959,1456077959,4536,30.57745004,45827.46306
308,1456077959,1456077959,4600,30.67844009,45549.03856
309,1456077959,1456077959,4672,30.77736998,47225.36713
310,1456077959,1456077959,4752,30.87873006,46882.36115
311,1456077959,1456077959,4840,30.97790003,48805.09716
312,1456077959,1456077959,4936,31.07810998,49256.58511
313,1456077959,1456077959,5032,31.17815995,50294.86638
314,1456077959,1456077959,5136,31.27817011,51354.78408
315,1456077959,1456077959,5248,31.37827992,52422.43199
316,1456077959,1456077959,5360,31.47854996,53455.65216
317,1456077960,1456077960,5480,31.57739997,55437.52498
318,1456077960,1456077960,5600,31.67844009,55423.52611
319,1456077960,1456077960,5720,31.77765989,57649.78417
320,1456077960,1456077960,5840,31.87781,58312.46812
321,1456077960,1456077960,5968,31.97804999,59537.1156
322,1456077960,1456077960,6096,32.07803988,60966.16304
323,1456077960,1456077960,6216,32.17816997,62079.24659
324,1456077960,1456077960,6344,32.27825999,63382.93833
325,1456077960,1456077960,6464,32.37835002,64581.85898
326,1456077960,1456077960,6592,32.47864008,65729.34543
327,1456077961,1456077961,6712,32.57790995,67613.66975
328,1456077961,1456077961,6824,32.68011999,66764.47515
329,1456077961,1456077961,6936,32.78363991,67001.59962
330,1456077961,1456077961,7048,32.88898993,66900.79569
331,1456077961,1456077961,7152,32.99566007,67047.81599
332,1456077961,1456077961,7248,33.10438991,66660.63378
