id, time (s), size (bits),,
46,1456077932,5248,4.600080013,52354.35367
47,1456077932,5360,4.700350046,53455.65216
48,1456077933,5480,4.800480127,54728.80812
49,1456077933,5600,4.8995502,56525.64773
50,1456077933,5720,4.999819994,57046.0928
51,1456077933,5840,5.099970102,58312.46812
52,1456077933,5968,5.200070143,59620.35554
53,1456077933,6096,5.300110102,60935.65075
54,1456077933,6216,5.400140047,62141.39153
55,1456077933,6344,5.500290155,63344.914
56,1456077933,6472,5.600440025,64623.14934
57,1456077933,6592,5.699500084,66545.4886
58,1456077934,6712,5.799920082,66839.27626
59,1456077934,6824,5.900160074,68076.62146
60,1456077934,6936,6.000160217,69359.90078
61,1456077934,7048,6.100130081,70501.24633
62,1456077934,7152,6.20009017,71548.55594
63,1456077934,7248,6.300220013,72386.01201
64,1456077934,7344,6.400420189,73293.28426
65,1456077934,7432,6.499989986,74641.1079
66,1456077934,7512,6.600200176,74962.43659
67,1456077934,7584,6.700300217,75764.20516
68,1456077935,7648,6.800350189,76441.8001
69,1456077935,7712,6.900410175,77073.76644
70,1456077935,7760,7.000540018,77499.37268
71,1456077935,7808,7.099690199,78749.22603
72,1456077935,7840,7.199779987,78329.66901
73,1456077935,7864,7.299920082,78529.98361
74,1456077935,7880,7.40004015,78705.5002
75,1456077935,7888,7.500180006,78769.83539
76,1456077935,7888,7.600239992,78832.71132
77,1456077935,7880,7.700330019,78729.12265
78,1456077936,7864,7.800420046,78569.26656
79,1456077936,7840,7.899500132,79127.90891
80,1456077936,7800,7.999490023,78007.88578
81,1456077936,7760,8.099430084,77646.54012
82,1456077936,7712,8.200489998,76311.16753
83,1456077936,7648,8.299550056,77205.68823
84,1456077936,7584,8.3995502,75839.89151
85,1456077936,7512,8.499490023,75165.23207
86,1456077936,7432,8.599440098,74357.12268
87,1456077936,7344,8.699500084,73395.97261
88,1456077937,7248,8.7994802,72494.41487
89,1456077937,7152,8.899389982,71584.58188
90,1456077937,7048,9.000420094,69761.38013
91,1456077937,6936,9.099470139,70025.20795
92,1456077937,6824,9.199560165,68178.62093
93,1456077937,6704,9.299620152,66999.80942
94,1456077937,6584,9.399790049,65728.32949
95,1456077937,6464,9.499989986,64511.01808
96,1456077937,6344,9.600110054,63363.92046
97,1456077937,6216,9.700190067,62110.30351
98,1456077938,6088,9.800220013,60861.77471
99,1456077938,5968,9.900230169,59673.93914
100,1456077938,5840,10.00049019,58248.54255
101,1456077938,5720,10.09952021,57760.26425
102,1456077938,5592,10.19947004,55948.06538
103,1456077938,5472,10.29945016,54730.88275
104,1456077938,5360,10.39941001,53621.52888
105,1456077938,5248,10.50041008,51960.35973
106,1456077938,5136,10.60040998,51360.04898
107,1456077938,5032,10.70045018,50299.78081
108,1456077939,4936,10.79943013,49868.68555
109,1456077939,4840,10.89953017,48351.62882
110,1456077939,4752,10.99943018,47567.56412
111,1456077939,4672,11.10043001,46257.50262
112,1456077939,4600,11.19952011,46422.39771
113,1456077939,4536,11.2994802,45378.11098
114,1456077939,4472,11.39947009,44724.52118
115,1456077939,4424,11.49981022,44090.03746
116,1456077939,4376,11.59991002,43716.37018
117,1456077939,4344,11.70007014,43370.55424
118,1456077940,4320,11.80014014,43169.78128
119,1456077940,4304,11.90016007,43031.42307
120,1456077940,4296,12.00035,42878.56321
121,1456077940,4296,12.09939003,43376.3998
122,1456077940,4304,12.19945002,43014.19745
123,1456077940,4320,12.29954004,43161.14338
124,1456077940,4344,12.39971018,43366.21867
125,1456077940,4384,12.49978018,43809.3336
126,1456077940,4424,12.60000014,44142.90108
127,1456077940,4472,12.70015001,44653.07847
128,1456077941,4536,12.80033016,45278.43132
129,1456077941,4600,12.90002012,46143.06173
130,1456077941,4672,13.00026011,46608.14412
131,1456077941,4752,13.10047007,47420.44012
132,1456077941,4840,13.19957018,48839.50036
133,1456077941,4936,13.29975009,49271.35558
134,1456077941,5032,13.40005016,50169.4547
135,1456077941,5136,13.50026011,51252.39488
136,1456077941,5248,13.60035014,52432.7964
137,1456077941,5360,13.70055008,53493.04717
138,1456077942,5480,13.79975009,55241.92975
139,1456077942,5600,13.8999002,55916.06532
140,1456077942,5720,14.00001001,57137.25438
141,1456077942,5840,14.10011005,58341.63477
142,1456077942,5968,14.20025015,59596.50842
143,1456077942,6096,14.29953003,61402.16898
144,1456077942,6216,14.39979005,61998.79118
145,1456077942,6344,14.50004005,63281.7919
146,1456077942,6464,14.60019016,64543.1154
147,1456077942,6592,14.70030999,65841.10315
148,1456077943,6712,14.80043006,67039.50727
149,1456077943,6824,14.89938021,68964.0204
150,1456077943,6936,15.00043011,68639.35537
151,1456077943,7048,15.1006701,70311.2585
152,1456077943,7152,15.19977999,72162.32546
153,1456077943,7248,15.29987001,72414.80723
154,1456077943,7344,15.39996004,73373.94375
155,1456077943,7432,15.49995017,74327.3365
156,1456077943,7512,15.59993005,75135.11909
157,1456077943,7584,15.69995999,75817.29623
158,1456077944,7648,15.80008006,76388.28243
159,1456077944,7712,15.90032005,76935.36118
160,1456077944,7760,16.00036001,77569.00424
161,1456077944,7808,16.10034013,78095.5286
162,1456077944,7840,16.20041013,78345.15863
